Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa 
Biobio,08,Los Alamos,08206,22524,-,-,-,-,-,-,-,0.0
Biobio,08,Los Angeles,08301,218515,11,15,12,17,22,22,22,10.1
Biobio,08,Lota,08106,45750,-,-,-,-,-,-,1,2.2
Biobio,08,Mulchen,08305,31041,-,5,5,5,5,5,5,16.1
Biobio,08,Nacimiento,08306,27944,-,-,-,-,4,5,9,32.2
Biobio,08,Negrete,08307,10429,-,-,-,-,-,-,2,19.2
Biobio,08,Penco,08107,49865,-,-,-,5,5,5,9,18.0
Biobio,08,Quilaco,08308,4179,-,-,-,-,-,-,-,0.0
Biobio,08,Quilleco,08309,10032,-,-,-,-,-,-,-,0.0
Biobio,08,San Pedro de la Paz,08108,145906,18,50,56,63,71,73,80,54.8
Biobio,08,San Rosendo,08310,3611,-,-,-,-,-,-,-,0.0
Biobio,08,Santa Barbara,08311,14592,-,-,-,-,-,-,2,13.7
Biobio,08,Santa Juana,08109,14779,-,-,-,-,-,-,-,0.0
Biobio,08,Talcahuano,08110,158345,-,23,29,36,45,46,56,35.4
Biobio,08,Tirua,08207,11019,-,-,-,4,4,4,4,36.3
Biobio,08,Tome,08111,58729,4,6,9,25,30,30,37,63.0
Biobio,08,Tucapel,08312,15205,,-,-,-,-,-,1,6.6
Biobio,08,Yumbel,08313,22132,5,5,5,5,5,5,5,22.6
La Araucania,09,Angol,09201,56058,7,13,12,15,23,24,28,49.9
La Araucania,09,Carahue,09102,25486,-,-,-,-,6,6,18,70.6
La Araucania,09,Cholchol,09121,12341,-,-,-,-,-,4,4,32.4
La Araucania,09,Collipulli,09202,26148,-,-,-,-,-,-,1,3.8
La Araucania,09,Cunco,09103,18055,-,-,-,5,5,5,5,27.7
La Araucania,09,Curacautin,09203,18178,-,-,-,-,-,5,5,27.5
La Araucania,09,Curarrehue,09104,7802,-,-,-,-,4,4,4,51.3
La Araucania,09,Ercilla,09204,8458,-,-,-,-,-,-,3,35.5
La Araucania,09,Freire,09105,25446,-,-,5,5,5,5,5,19.6
La Araucania,09,Galvarino,09106,12633,-,-,-,-,-,-,2,15.8
La Araucania,09,Gorbea,09107,15148,4,6,7,10,10,10,10,66.0
La Araucania,09,Lautaro,09108,40746,-,8,10,16,19,19,22,54.0
La Araucania,09,Loncoche,09109,24739,-,-,4,4,6,6,6,24.3
La Araucania,09,Lonquimay,09205,11049,-,-,-,-,-,-,-,0.0
La Araucania,09,Los Sauces,09206,7517,-,-,-,-,-,-,-,0.0
La Araucania,09,Lumaco,09207,10050,-,-,-,-,-,-,-,0.0
La Araucania,09,Melipeuco,09110,6265,-,-,-,-,-,-,-,0.0
La Araucania,09,Nueva Imperial,09111,33777,-,-,11,16,20,22,25,74.0
La Araucania,09,Padre Las Casas,09112,82110,9,14,33,44,49,49,49,59.7
La Araucania,09,Perquenco,09113,7223,-,-,-,-,-,-,3,41.5
La Araucania,09,Pitrufquen,09114,26096,4,6,7,11,12,12,16,61.3
La Araucania,09,Pucon,09115,29782,-,-,-,4,5,5,5,16.8
La Araucania,09,Puren,09208,12188,-,-,-,-,-,-,2,16.4
La Araucania,09,Renaico,09209,10833,-,-,-,-,-,-,2,18.5
La Araucania,09,Saavedra,09116,12793,-,-,-,-,-,-,1,7.8
La Araucania,09,Temuco,09101,302931,154,225,293,365,407,443,471,155.5
La Araucania,09,Teodoro Schmidt,09117,15786,-,4,-,-,-,4,5,31.7
La Araucania,09,Tolten,09118,10055,-,-,4,5,7,7,7,69.6
La Araucania,09,Traiguen,09210,19314,-,-,-,-,-,-,2,10.4
La Araucania,09,Victoria,09211,35467,5,7,11,12,15,15,15,42.3
La Araucania,09,Vilcun,09119,30766,4,5,11,18,20,20,24,78.0
La Araucania,09,Villarrica,09120,59103,,4,6,11,15,15,18,30.5
Los Rios,14,Corral,14102,5447,-,-,-,-,-,-,-,0.0
Los Rios,14,Futrono,14202,15261,-,-,-,5,5,5,5,32.8
Los Rios,14,La Union,14201,39538,-,9,10,17,18,18,18,45.5
Los Rios,14,Lago Ranco,14203,10292,-,-,-,-,-,-,2,19.4
Los Rios,14,Lanco,14103,17652,-,-,-,-,-,-,2,11.3
Los Rios,14,Los Lagos,14104,20518,-,-,-,-,-,-,-,0.0
Los Rios,14,Mafil,14105,7389,-,-,-,-,-,-,1,13.5
Los Rios,14,Mariquina,14106,23250,-,-,-,6,8,8,8,34.4
Los Rios,14,Paillaco,14107,20798,-,-,-,-,-,-,1,4.8
Los Rios,14,Panguipulli,14108,35991,-,-,-,-,-,-,2,5.6
Los Rios,14,Rio Bueno,14204,32925,-,-,-,5,5,5,10,30.4
Los Rios,14,Valdivia,14101,176774,12,45,47,65,72,82,88,49.8
Los Lagos,10,Ancud,10202,42458,-,-,-,-,-,-,3,7.1
